#timestamp [ns],cam0,cam1,w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1403636580813555456,1403636580813555456.png,1403636580813555456.png,-0.2071356756266869,0.3180688028834465,-0.0511032404983939,9.824628858333332,-0.1569063999999999,-4.178450120833334,4.687951333333333,-1.7865043333333332,0.7934205,0.5354421666666667,-0.15290616666666665,-0.826352,-0.0840455
1403636580863555584,1403636580863555584.png,1403636580863555584.png,-0.2266833632490234,0.3288898442458114,-0.0608072711394824,8.691960783333332,-0.4233203916666666,-3.929197766666667,4.6868944444444445,-1.7852883333333334,0.823712,0.5393417777777778,-0.15249622222222226,-0.8232534444444445,-0.09007522222222224
1403636580913555456,1403636580913555456.png,1403636580913555456.png,-0.0993441410235171,0.3298672286269282,0.0076096355386952,8.462321729166666,-0.1593580624999999,-3.7069137,4.6855042000000005,-1.7845446000000003,0.8617075,0.5445705999999999,-0.151942,-0.8193031000000002,-0.0954572
1403636580963555584,1403636580963555584.png,1403636580963555584.png,-0.0180816110506612,0.3034080371666942,0.020594885173533,8.010398608333333,-0.0498504708333333,-3.305658270833333,4.6842278,-1.7844138,0.900385,0.5502029,-0.1504288,-0.81541,-0.0988705
1403636581013555456,1403636581013555456.png,1403636581013555456.png,0.0323933109170146,0.290841666552335,0.1115614457874774,8.363438008333333,0.3277055541666666,-3.2925827374999996,4.6831803,-1.7846648999999999,0.9365735,0.5559097,-0.1496366,-0.8116317000000001,-0.0992656
1403636581063555584,1403636581063555584.png,1403636581063555584.png,-0.0185004900711398,0.2834414705238791,0.1063952712015742,8.174659995833332,0.1895952333333332,-2.946081104166667,4.6821448000000006,-1.7843504,0.9706590000000002,0.5612716999999999,-0.148798,-0.8079898,-0.09999659999999999
1403636581113555456,1403636581113555456.png,1403636581113555456.png,-0.0289724655831058,0.3369881719750651,0.2052507200345331,8.030011908333332,0.2508867958333333,-3.158558520833333,4.681034818181818,-1.7834737272727275,1.0036647272727275,0.5676233636363637,-0.15076454545454546,-0.8031396363636362,-0.10020081818181818
1403636581163555584,1403636581163555584.png,1403636581163555584.png,-0.0187099295813791,0.3433411704523245,0.1490511181203157,7.8322444666666655,0.1086903708333333,-2.8218635374999996,4.680792,-1.7824401111111112,1.032131222222222,0.5741235555555556,-0.15157122222222222,-0.798321,-0.10046266666666666
1403636581213555456,1403636581213555456.png,1403636581213555456.png,-0.0088662726001311,0.3770609316008549,0.1885653723854673,7.743167395833334,-0.0563882374999999,-2.947715545833333,4.6810788,-1.7813348999999998,1.0559145,0.5808747000000001,-0.153336,-0.7930581999999999,-0.1006387
1403636581263555584,1403636581263555584.png,1403636581263555584.png,0.0147305788868321,0.3264463832930193,0.047054076633767,6.579444929166667,-0.1585408416666666,-2.3920053791666667,4.6823217999999995,-1.7805661000000002,1.0769699000000001,0.5875513,-0.1526806,-0.788197,-0.1010711
1403636581313555456,1403636581313555456.png,1403636581313555456.png,-0.0228289066160857,0.2379930968019467,0.0812625299728559,6.177372279166667,-0.0106238708333333,-1.748852583333333,4.684410545454546,-1.7803691818181817,1.091787090909091,0.5929711818181818,-0.15190945454545457,-0.7841011818181819,-0.10243500000000001
1403636581363555584,1403636581363555584.png,1403636581363555584.png,-0.0871268362595568,0.0781907504893459,-0.0208043246837723,5.858656154166666,0.1667130499999999,-1.7227015166666664,4.686541222222222,-1.7801551111111111,1.0974666666666666,0.5951795555555555,-0.15127755555555555,-0.7822308888888888,-0.10483833333333333
1403636581413555456,1403636581413555456.png,1403636581413555456.png,-0.053825954131505,-0.067369709126981,-0.0340688269989292,5.980422058333334,-0.0065377666666666,-1.5045035541666665,4.6887657,-1.7797464,1.0942209000000003,0.5942591,-0.1504775,-0.7827238000000001,-0.1074989
1403636581463555584,1403636581463555584.png,1403636581463555584.png,-0.0518711853692714,-0.1842369558405214,-0.0365821011218011,6.568821058333333,0.0351404958333333,-1.815864691666667,4.6910185,-1.7794727,1.0822752999999998,0.5907743999999999,-0.1490103,-0.7853055,-0.1098983
1403636581513555456,1403636581513555456.png,1403636581513555456.png,-0.0314159265358978,-0.2264041105687043,0.1209862237482468,6.971710929166666,-0.1691647125,-1.7161637500000002,4.6929368,-1.7793242999999996,1.0627979,0.5859685000000001,-0.1495439,-0.7887451999999999,-0.1102879
